"Druid","Title","Collection"
"bq472bt8983","Adobe 1991 #1","Douglas Menuez photography collection, circa 1985-2008"
"bq578dk2344","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"bq592gt4600","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bq642mz0243","Adobe, Annual #1","Douglas Menuez photography collection, circa 1985-2008"
"bq671ff0187","Farallon A","Douglas Menuez photography collection, circa 1985-2008"
"bq777bv3865","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bq789qd3361","Adobe, 1992","Douglas Menuez photography collection, circa 1985-2008"
"bq801mh7263","Farallon, #4","Douglas Menuez photography collection, circa 1985-2008"
"bq842kp3761","Farallon, 1991/1992","Douglas Menuez photography collection, circa 1985-2008"
"bq904wm6957","Farallon A","Douglas Menuez photography collection, circa 1985-2008"
"bq967hw1789","Newton Defying Gravity","Douglas Menuez photography collection, circa 1985-2008"
"bq991vc9805","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"br058cs0565","Newton 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"br132zx0514","24 Hours In Cyberspace","Douglas Menuez photography collection, circa 1985-2008"
"br141fh7087","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"br231ry0084","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"br323bz4722","Farallon, 1989, #1","Douglas Menuez photography collection, circa 1985-2008"
"br417cq8164","Adobe 1989 Binder 1","Douglas Menuez photography collection, circa 1985-2008"
"br434qh7466","Kleiner, Perkins Caulfield and Byers","Douglas Menuez photography collection, circa 1985-2008"
"br440yj4609","Adobe, 1989","Douglas Menuez photography collection, circa 1985-2008"
"br473qd8790","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"br514hx4183","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"br560mx4719","Adobe, 1991, Halloween","Douglas Menuez photography collection, circa 1985-2008"
"br596gj8158","Apple 1990-1991 #1","Douglas Menuez photography collection, circa 1985-2008"
"br666jy4273","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"br729ww9012","IBM 12/97","Douglas Menuez photography collection, circa 1985-2008"
"br794tm1804","Adobe, 1991","Douglas Menuez photography collection, circa 1985-2008"
"br816kc6072","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"br852zw4521","Farallon 1990 Jan.-June","Douglas Menuez photography collection, circa 1985-2008"
"br932xk5940","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bs056rc7404","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bs124vp5737","Adobe 1988 Binder 1","Douglas Menuez photography collection, circa 1985-2008"
"bs235nt8430","Sun 1992","Douglas Menuez photography collection, circa 1985-2008"
"bs270rn8870","Newton 1993 #1","Douglas Menuez photography collection, circa 1985-2008"
"bs276mc7691","Adobe 1992 #1","Douglas Menuez photography collection, circa 1985-2008"
"bs353qd2267","Adobe, 1992, #1","Douglas Menuez photography collection, circa 1985-2008"
"bs388jk1870","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bs425gm3611","Apple Blueprint 1994 #2","Douglas Menuez photography collection, circa 1985-2008"
"bs441hq8287","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bs464jd6301","NetObjects, 1999","Douglas Menuez photography collection, circa 1985-2008"
"bs588zq9206","Against All Odds - One Digital Day","Douglas Menuez photography collection, circa 1985-2008"
"bs617tm7274","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bs733yc8369","Adobe, Annual #2","Douglas Menuez photography collection, circa 1985-2008"
"bs760sg2623","Apple Blueprint","Douglas Menuez photography collection, circa 1985-2008"
"bs835zp4755","Adobe, 1988","Douglas Menuez photography collection, circa 1985-2008"
"bs894hc3823","Kleiner, Perkins Caulfield and Byers","Douglas Menuez photography collection, circa 1985-2008"
"bs946rg3467","Farallon 1989 Jan.-Nov","Douglas Menuez photography collection, circa 1985-2008"
"bt092zy6081","Adobe, #1","Douglas Menuez photography collection, circa 1985-2008"
"bt107bs7031","Newton 1992 #5","Douglas Menuez photography collection, circa 1985-2008"
"bt143vj9908","Silicon Valley Selects, 1986-1997, Tech Selects 7, Adobe/Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
"bt227wn3775","Silicon Valley Selects, 1986-1997, Tech Selects 8, Farallon Tech Project A","Douglas Menuez photography collection, circa 1985-2008"
"bt277pp8794","Silicon Valley Selects, 1986-1997, Tech Selects 5, Sun Microsystems, #1","Douglas Menuez photography collection, circa 1985-2008"
"bt352yk4249","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bt353fc0657","Newton Selects","Douglas Menuez photography collection, circa 1985-2008"
"bt428qh5693","Kleiner, Perkins Caulfield and Byers, Bill Clinton","Douglas Menuez photography collection, circa 1985-2008"
"bt429xy3128","Kleiner Perkins 1996","Douglas Menuez photography collection, circa 1985-2008"
"bt526dp8952","NetObjects","Douglas Menuez photography collection, circa 1985-2008"
"bt711vw8877","Silicon Valley Selects, 1986-1997, Tech Selects 7, Adobe/Kleiner Perkins","Douglas Menuez photography collection, circa 1985-2008"
