"filename","permalink","caption","ignore"
"wq634kw5047","https://purl.stanford.edu/wq634kw5047","Horseback riders approach two men on a bridge - stage","2"
"wq929bb8918","https://purl.stanford.edu/wq929bb8918","Young man in winged costume, waterfalls background","2"
"wq934dg2390","https://purl.stanford.edu/wq934dg2390","Woman, seated in baroque chair","2"
"wr019vz2114","https://purl.stanford.edu/wr019vz2114","Kwong Hong Fat dry goods--interior and group portrait","2"
"wr676sq4010","https://purl.stanford.edu/wr676sq4010","Costumed woman, holding up light coloured fabric","2"
"ws539tz2423","https://purl.stanford.edu/ws539tz2423","Actor, fan in right hand, book in the other","2"
"wt404yj5492","https://purl.stanford.edu/wt404yj5492","8 actors in costume on a stage","2"
"wv441px4901","https://purl.stanford.edu/wv441px4091","ID card- 36270","2"
"wv617vg0114","https://purl.stanford.edu/wv617vg0114","Standing actor with pagoda and trees in background","2"
"wx047xw3177","https://purl.stanford.edu/wx047xw3177","5 inset photos--actresses","2"
"wx884pc6488","https://purl.stanford.edu/wx884pc6488","Woman with child on bench","2"
"wz124tm7169","https://purl.stanford.edu/wz124tm7169","Woman, dark floral dress, arm resting on table","2"
"wz537vd3661","https://purl.stanford.edu/wz537vd3661","Actor, fan in hand, leaning forward","2"
